Nascimento,Estado sanguíneo,Estado civil,Nacionalidade,Outros nomes,Título(s),Assinatura,Espécie,Gênero,Altura,Peso,Cor do cabelo,Cor dos olhos,Membros da família,Bicho-papão,Varinha,Patrono,Ocupação,Casa,Lealdade,Nome,Cor da pele,Romances,Morte,Cor das penas,Dono (s),Forma animaga,Cor do pelo,Título (s),Familiares
"5 de junho de 1980[1], Grã-Bretanha[2]",Sangue puro[1],Viúvo[3],Britânico[2],"Malfoy, Fantástica doninha quicante (por Rony Weasley)[4]","Monitor, Apanhador",     ,"Humano, Fuinha (brevemente)[5]",Masculino,,,Louro-branco[6],Cinzentos[7][8],"Armand Malfoy (ancestral paternal) †, Nicholas Malfoy (ancestral paternal) †, Lúcio Malfoy I (ancestral paternal) †, Bruto Malfoy (ancestral paternal) †, Septimus Malfoy (ancestral paternal) †, Abraxas Malfoy (avô paterno) †, Cygnus Black III (avô materno) †, Druella Black (nascida Rosier) (avó materna), Lúcio Malfoy II (pai), Narcisa Malfoy (nascida Black) (mãe), Belatriz Lestrange (nascida Black) (tia materna) †, Rodolfo Lestrange (tio materno), Delphini (prima), Andrômeda Tonks (nascida Black) (tia materna), Ted Tonks (tio) †, Ninfadora Lupin (nascida Tonks) (prima) †, Astória Malfoy (nascida Greengrass) (esposa) †, Escórpio Malfoy (filho), Dafne Greengrass (cunhada), Família Malfoy, Casa dos Black (família materna), Família Greengrass (sogros)",Lorde Voldemort[10],"Vinte e cinco centímetros, pilriteiro, pelo de unicórnio e razoavelmente flexível (anteriormente), Comprimento, madeira e núcleo desconhecidos (temporariamente), Trinta e oito centímetros, sabugueiro e pelo de Testrálio (nunca usada)",Nenhum[11][12],, Sonserina[13],"Família Malfoy, Casa dos Black, Família Greengrass, Escola de Magia e Bruxaria de HogwartsSonserinaTime de Quadribol da SonserinaBrigada Inquisitorial (anteriormente)Gangue de Draco Malfoy (anteriormente), Sonserina, Time de Quadribol da Sonserina, Brigada Inquisitorial (anteriormente), Gangue de Draco Malfoy (anteriormente), Comensais da Morte (anteriormente), Lorde Voldemort (anteriormente), Ministério da Magia Britânico",Draco Lúcio Malfoy,Pálida[9][6],"Astória Greengrass (esposa) †, Pansy Parkinson (ex-namorada)",,,,,,,
30 de julho de 1980[1][2]Grã-Bretanha,Sangue puro[3],Casado,Britânico,,"Professor[4], Diretor da Casa Grifinória[5]",,Humana,Masculino,,,Louro[6],,"Franco Longbottom (pai), Alice Longbottom (mãe), Ana Abbott (esposa), Sr. Longbottom (avô paterno)[7] †, Augusta Longbottom (avó paterna), Algie Longbottom (tio avô)[7], Enid Longbottom (tia avó)[7], Harfang Longbottom (possível parentesco), Callidora Longbottom (nascida Black) (possível patentesco)",Severo Snape[8],"Varinha de seu pai (anteriormente), 33cm, Cerejeira e pelo de Unicórnio",Não-corpóreo[9],"Auror (anteriormente), Professor de Herbologia na Escola de Magia e Bruxaria de Hogwarts (década de 2010–?), Diretor da Casa Grifinória[5]", Grifinória[10],"Família Longbottom, Família Abbott, Escola de Magia e Bruxaria de HogwartsGrifinóriaDepartamento de HerbologiaClube do Slugue (brevemente), Grifinória, Departamento de Herbologia, Clube do Slugue (brevemente), Alvo DumbledoreOrdem da Fênix, Ordem da Fênix, Harry PotterArmada de Dumbledore, Armada de Dumbledore, Ministério da Magia BritânicoSeção dos Aurores (anteriormente), Seção dos Aurores (anteriormente), F.A.L.E.",Neville Longbottom,,,,,,,,,
23 de janeiro de 1960 ou antes,Mestiço,Solteiro,Britânico ou Irlandês,,Professor,,Humana,Masculino,,,,Azuis,,Lorde Voldemort,"22cm, Amieiro e corda de coração de dragão",Não corpóreo,"Professor de Estudo dos Trouxas (? - 1990), Professor de Defesa Contra as Artes das Trevas (1991 - 1992)",Corvinal,"Escola de Magia e Bruxaria de Hogwarts (antes)Corvinal, Corvinal, Lorde VoldemortComensais da Morte (indiretamente), Comensais da Morte (indiretamente)",Quirino Quirrell,Pálida,,"4 de junho de 1992Castelo de Hogwarts, Escócia, Grã-Bretanha",,,,,,
"1 de março de 1980, Ottery St. Catchpole, Devon, Inglaterra, Grã-Bretanha",Sangue puro[1],Casado[2],Inglês,"Rony (por família e amigos), Roniquinho (por Fred e Jorge Weasley), Vicente Crabbe[3] (sob uso da Poção Polissuco), Fuinha[4](por Draco Malfoy), Wheezy [5] (por Dobby), Uon-Uon[6][7] (por Lilá Brown), Harry Potter (sob efeito da Poção Polissuco)[8], Reg Cattermole (sob efeito da Poção Polissuco)[9], Stan Shunpike[10], Rei Banana[11](por Draco Malfoy), Barny Weasley[10], Dragomir Despard [12], Roonil Wazlib (devido a um erro de digitação causado por uma pena com defeito)[13]","Monitor[14], Goleiro[14]",     ,Humana[15],Masculino[15],,,Ruivo[16][17],Azuis[18],"Septimus Weasley (avô paterno) †, Cedrella Weasley (nascida Black) (avó materna) †, Sr. Prewett (avô paterno), Sra. Prewett (avó paterna), Arthur Weasley (pai), Molly Weasley (nascida Prewett) (mãe), Gui Weasley (irmão), Carlinhos Weasley (irmão), Percy Weasley (irmão), Fred Weasley (irmão) †, Jorge Weasley (irmão), Gina Potter (nascida Weasley) (irmã), Hermione Granger (esposa), Rosa Weasley[26] (filha), Hugo Weasley[26] (filho), Tessie (tia-avó), Gideão Prewett (tio materno) †, Fábio Prewett (tio materno) †, Abílio (tio) †, Tio, Primo, Tios paternos, Harry Potter (cunhado), Tiago Potter II (sobrinho), Alvo Potter (sobrinho), Lílian Potter (sobrinha), Fleur Weasley (nascida Delacour) (cunhada), Victoire Weasley (sobrinha), Dominique Weasley (sobrinha), Louis Weasley (sobrinho), Audrey Weasley (cunhada), Molly Weasley II (sobrinha), Lucy Weasley (sobrinha), Angelina Weasley (nascida Johnson) (cunhada), Fred Weasley II (sobrinho), Roxanne Weasley (sobrinha), Sr. Granger (sogro), Sra. Granger (sogra), Família Weasley, Casa dos Black (ancestrais distante)",Aragogue[27][28],"Trinta centímetros, freixo e pelo de unicórnio, Trinta e cinco centímetros, salgueiro e pelo de unicórnio, Vinte e dois centímetros, quebradiça e fibra de coração de dragão",Jack Russell Terrier[29],"Auror[30] (anteriormente), Sócio das Gemialidades Weasley [31]", Grifinória[32],"Família Weasley, Família Granger, Família Prewett, Família Potter, Armada de Dumbledore, Ordem da Fênix, Ministério da Magia BritânicoSeção dos Aurores, Seção dos Aurores, Escola de Magia e Bruxaria de HogwartsGrifinóriaTime de Quadribol da Grifinória, Grifinória, Time de Quadribol da Grifinória, F.A.L.E, Gemialidades Weasley, Canhões de Chudley",Ronald Abílio Weasley,Pálida[19][20][21][22][23][24][25],"Lilá Brown (ex-namorada), Hermione Granger (esposa)",,,,,,,
,Puro-sangue ou mestiço[3] (possivelmente),,,,,,Humano,Masculino,,,Grisalhos,,"Sra. Fudge (esposa), Rufo Fudge (sobrinho)",,Desconhecida,,"Minístro Junior do Departmento de Acidentes e Catástrofes Mágicas (antigamente), Ministro da Magia (antigamente), Conselheiro do Ministro, Mensageiro do Primeiro Ministro Trouxa (antigamente)",Corvinal,"Ordem de Merlim, Ministro da MagiaWizengamot, Wizengamot, Família Fudge, Escola de Magia e Bruxaria de Hogwarts",Cornélio Oswald Fudge,Clara,,,,,,,,
"9 de janeiro de 1960[1], Rua da Fiação, Cokeworth, Terras Médias, Inglaterra, Grã-Bretanha",Mestiço[3],Solteiro,Inglês,"Príncipe Mestiço[4], Ranhoso[5][6][7] (pelos Marotos), Sev[7] (por Lílian Evans), Mestre das Poções[8]","Professor[9], Diretor da Casa Sonserina (anteriormente), Diretor (anteriormente)",,Humana[9],Masculino[9],,,Preto[10][11],Preto[12][13],"Tobias Snape (pai), Eileen Snape (nascida Prince) (mãe)",Lorde Voldemort[14],"Comprimento, madeira e núcleo desconhecidos",Corça[7],"Mestre das Poções na Escola de Magia e Bruxaria de Hogwarts (1981–1996), Diretor da Casa Sonserina (1981–1997), Professor de Defesa Contra as Artes das Trevas na Escola de Magia e Bruxaria de Hogwarts(1996–1997)[15], Diretor de Hogwarts (1997-1998)", Sonserina,"Família Snape, Família Prince, Escola de Magia e Bruxaria de HogwartsSonserinaGangue de Sonserinos (anteriormente), SonserinaGangue de Sonserinos (anteriormente), Gangue de Sonserinos (anteriormente), Lorde Voldemort (anteriormente)Comensais da Morte (desertado), Comensais da Morte (desertado), Alvo DumbledoreOrdem da Fênix, Ordem da Fênix, Lílian Potter, Harry Potter",Severo Snape,Macilenta[10][11],Lílian Evans (Não correspondido),"2 de maio de 1998 (38 anos), Casa dos Gritos, Hogsmeade, Terras Altas, Escócia[2]",,,,,,
Entre 1 de setembro de 1979 a 31 de agosto de 1980,Sangue puro[1][2],Solteiro,Britânico ou irlandês[3],,Batedor[4],,Humana,Masculino,"1,65",,Preto,Castanhos,"Sr. Crabbe, Irma Crabbe (possível parente)",Lorde Voldemort[5],"Madeira, núcleo e comprimento desconhecidos",Nenhum[6][7],,Predefinição:Sonso rina casa,"Família Crabbe, Escola de Magia e Bruxaria de HogwartsSonserinaTime de quadribol da Sonserina[4]Brigada Inquisitorial[4], Sonserina, Time de quadribol da Sonserina[4], Brigada Inquisitorial[4], Gangue de Draco Malfoy(anteriormente), Lorde Voldemort, Comensais da Morte(não oficialmente)",Vicente Crabbe,Branco,,"2 de maio de 1998 (17/18 anos de idade), Sala Precisa, Castelo de Hogwarts, Terras Altas, Escócia, Grã-Bretanha",,,,,,
25 de setembro[1] de 1909 ou antes[2]Grã-Bretanha[3],Mestiço[1],,Britânica ou irlandesa,,,,Humana[4],Masculino[4],,,,Prateados[5],"Gervaise Olivaras (pai), Senhora Olivaras (mãe), Esposa, Filho, Filha †, Gerbold Olivaras (avô paterno), Olivaras (ancestral), Geraint Olivaras (ancestral), Família Olivaras",Lorde Voldemort[7],"Trinta e dois centímetros, choupo-branco, corda de coração de dragão[1]",Não corpóreo[7][8],Fabricante de varinhas[1],Corvinal[1],"Família Olivaras[1], Olivaras Varinhas[4], Escola de Magia e Bruxaria de Hogwarts[1]Corvinal[1], Corvinal[1], Harry Potter[4][9]",Garrick Olivaras,Branca[6],,,,,,,,
15 de maio de 1931 ou 1941[1],Sangue puro ou mestiça[2],,Britânica ou irlandesa[3],,"Professora[4], Diretora da Casa Lufa-Lufa[5][6], Mestra de Herbologia[7], Madame[8]",,Humana[4],Feminino[4],Baixa[4],,Grisalhos[7],,,Lorde Voldemort[10],"Comprimento, madeira e núcleo desconhecidos[11]",Não-corpóreo[10][12],"Herbologista[4], Diretora do Departamento de Herbologia na Escola de Magia e Bruxaria de Hogwarts[4] (após 1955-?[13], Diretora da Casa Lufa-Lufa na Escola de Magia e Bruxaria de Hogwarts[6] (antes de 1984-antes de 2014)[13]", Lufa-Lufa,"Escola de Magia e Bruxaria de Hogwarts[4]Departamento de HerbologiaLufa-Lufa, Departamento de Herbologia, Lufa-Lufa, Ordem da Fênix (durante a Batalha da Torre de Astronomia e a Batalha de Hogwarts), Armada de Dumbledore (durante a Batalha da Torre de Astronomia e a Batalha de Hogwarts)",Pomona Sprout,,Filio Flitwick (ex-namorado)[9],,,,,,,
"entre 1401 e 1475,[1]Grã-Bretanha ou Irlanda[2]",Nascido-trouxa[4] (possivelmente),,,,,,Fantasma[5],Masculino[5],,,Cinza[6],,,,Desconhecido,,Fantasma da Grifnória[5], Grifinória,"Corte de Henrique VII[7], Escola de Magia e Bruxaria de Hogwarts[5], Caça dos Sem Cabeças[5]",Nicholas de Mimsy-Porpington,Pálida[6],,31 de Outubro de 1492[3],,,,,,
"Até agosto[1][2] de 1881[3], Mould-on-the-Wold, Inglterra[4], Grã-Bretanha",Mestiço[6],Solteiro,Inglês,,"Monitor, Monitor-chefe, Professor[7], Diretor do Departamento de Transfiguração (anteriormente)[8], Diretor[7], Grande Feiticeiro[9], Cacique Supremo (anteriormente)[9], Bruxo Chefe[9]",     ,Humana[10],Masculino[10],"1,80[4]","76kg (1997)[4], 76kg (anteriormente, em 1932)[11]","Prateado[12], Acaju (anteriormente, em 1927)[13][14]",Azuis[15],"Percival Dumbledore (pai) †, Kendra Dumbledore (mãe) †, Aberforth Dumbledore (irmão), Ariana Dumbledore (irmã) †, Aurélio Dumbledore (sobrinho)[16], Honória (tia), Sr. Dumbledore (tataravô paterno) †[17], Família Dumbledore","O corpo de sua irmã, Ariana[18]","Comprimento, madeira e núcleo desconhecidos (anteriormente), 38cm, Sabugueiro e pelo de Trastrálio[3]",Fênix[19][20][21],"Professor de Defesa Contra as Artes das Trevas em Hogwarts (Década de 1910)[22], Diretor do Departamento de Transfiguração (?-pré 1955)[8], Colunista do Transfiguração Hoje (1926–?)[23], Diretor de Hogwarts (pré 1971[24]–1997), Cacique Supremo da Confederação Internacional dos Bruxos (?-1995)", Grifinória[25],"Família Dumbledore, Escola de Magia e Bruxaria de HogwartsGrifinória[25]Departamento de Transfiguração, Grifinória[25], Departamento de Transfiguração, Gerardo Grindelwald (anteriormente)[26], Ordem de Merlin, Primeira Armada de Dumbledore, Ordem da Fênix, Ministério da Magia BritânicoConselho das Leis da MagiaSuprema Corte dos Bruxos, Conselho das Leis da Magia, Suprema Corte dos Bruxos, Confederação Internacional dos Bruxos, Harry Potter, Armada de Dumbledore",Alvo Percival Wulfrico Brian Dumbledore,Clara[11],Gerardo Grindelwald (ex-amante),"30 de junho de 1997 (115 anos)[5][3], Torre de Astronomia, Castelo de Hogwarts, Terras Altas, Escócia, Grã-Bretanha",,,,,,
"27 de março de 1960[1], Inglaterra[2], Grã-Bretanha",Sangue puro[3][4],Casado,Inglês,Pontas (pelos Marotos)[5],"Artilheiro[6], Monitor-chefe[7]",,Humana[8],Masculino[8],,,Preto[9][10],Castanho-esverdeado[11],"Fleamont Potter[12] (pai) †, Euphemia Potter[12] (mãe) †, Lílian J. Potter (Evans) (esposa) †, Harry Potter (filho), Ginevra Potter (Weasley) (nora), Tiago Potter II (neto), Alvo Potter (neto), Lílian L. Potter (neta), Sr. Evans (sogro) †, Sra. Evans (sogra) †, Petúnia Dursley (nascida Evans) (cunhada) †, Válter Dursley (cunhado), Duda Dursley (sobrinho), Sra. Dursley (sobrinha), Henry Potter[12] (avô paterno) †, Hardwin Potter[12] (ancestral paterno) †, Iolanthe Potter[12] (Peverell) (ancestral paterno) †, Linfred de Stinchcombe[12] (ancestral paterno) †, Sr. Peverell (ancestral paterno) †, Ignoto Peverell[1] (ancestral paterno) †, Família Potter, Família Fleamont (ancestrais paternos), Família Peverell  (ancestrais paternos)",,"Vinte e oito centímetros, flexível, mogno e núcleo desconhecido[13]",Veado[14],, Grifinória[15],"Família Potter, Escola de Magia e Bruxaria de HogwartsGrifinóriaTime de quadribol da GrifinóriaMarotos, GrifinóriaTime de quadribol da GrifinóriaMarotos, Time de quadribol da Grifinória, Marotos, Família Evans, Alvo DumbledoreOrdem da Fênix, Ordem da Fênix",Tiago Potter,,Lílian J. Potter (esposa)[8] †,"31 de outubro de 1981 (21 anos), Godric's Hollow, Região Oeste, Inglaterra, Grã-Bretanha",,,Veado (não-registrado)[5],,,
"1 de abril de 1978, Grã-Bretanha[1]",Sangue puro[3],,Inglês,"Rodent (durante uma transmissão do Observatório Potter)[4], Rapier (durante uma transmissão do Observatório Potter)[4], Forge, Harry Potter (sob efeito da Poção Polissuco)[5], Fredinho (por Belatriz Lestrange[6] e Jorge Weasley)",Batedor[3],     ,Humana,Masculino,"Abaixo de 1,52 [7]",,Ruivo[8],,"Septimus Weasley (avô paterno) †, Cedrella Weasley (nascida Black) (avó materna) †, Sr. Prewett (avô paterno), Sra. Prewett (avó paterna), Arthur Weasley (pai), Molly Weasley (nascida Prewett) (mãe), Gui Weasley (irmão), Carlinhos Weasley (irmão), Percy Weasley (irmão), Jorge Weasley (irmão gêmeo mais novo), Gina Potter (nascida Weasley) (irmã), Fleur Weasley (nascida Delacour) (cunhada), Victoire Weasley (sobrinha), Dominique Weasley (sobrinha), Louis Weasley (sobrinho), Audrey Weasley (cunhada), Molly Weasley II (sobrinha), Lucy Weasley (sobrinha), Angelina Weasley (nascida Johnson) (cunhada), Fred Weasley II (sobrinho), Roxanne Weasley (sobrinha), Hermione Granger (cunhada), Rosa Granger-Weasley (sobrinha), Hugo Granger-Weasley (sobrinho), Harry Potter (cunhado), Tiago Potter II (sobrinho), Alvo Potter (sobrinho), Lílian Potter (sobrinha), Tessie (tia-avó), Gideão Prewett (tio materno) †, Fábio Prewett (tio materno) †, Abílio (tio) †, Tio, Primo, Tios paternos, Família Weasley, Casa dos Black (ancestrais distante)",Lorde Voldemort[9],"Comprimento, madeira e núcleo desconhecidos",Magpie[10],Co-proprietário das Gemialidades Weasley [11], Grifinória,"Família Weasley, Família Prewett, Escola de Magia e Bruxaria de HogwartsGrifinóriaTime de Quadribol da Grifinória, Grifinória, Time de Quadribol da Grifinória, Círculo de Khanna, Armada de Dumbledore, Ordem da Fênix, Gemialidades Weasley",Fred Weasley,Branca,,"2 de maio de 1998 (20 anos)Corredor do sétimo andar, Castelo de Hogwarts, Terras Altas, Escócia, Grã-Bretanha[2]",,,,,,
Antes de 1918,,Solteira,,,,,,,,,Grisalhos,Amarelos,,,,Não corpóreo,,,Escola de Magia e Bruxaria de Hogwarts,Rolanda Hooch,Branca,,,,,,,,
Entre 1 de setembro de 1975 a 31 de agosto de 1976,Puro-Sangue ou Mestiço (possivelmente),,Britânico ou Irlandês,,"Artilheiro, Capitão",,Humana,Masculino,,,,,"Ursula Flint (possível parente), Josephina Flint (possível parente), Família Flint",,,,, Sonserina,"Família Flint, Escola de Magia e Bruxaria de HogwartsSonserinaTime de Quadribol da Sonserina, Sonserina, Time de Quadribol da Sonserina",Marcos Flint,,,,,,,,,
1956,Aborto,,,,,,Humano,Masculino,,,Cinza,,,,Não Possui,,,,"Escola de Magia e Bruxaria de Hogwarts, Brigada Inquisitorial",Argo Filch,Pálida,,,,,,,,
Entre 1 de setembro de 1979 a 31 de agosto de 1980,Sangue puro[1],,Britânico ou irlandês[2],,Batedor[3],,Humana,Masculino,,,,,"Sr. Goyle (pai), Sra. Goyle (mãe)",Lorde Voldemort[4],"Madeira, núcleo e comprimento desconhecidos",Nenhum[5][6],, Sonserina,"Família Goyle, Escola de Magia e Bruxaria de HogwartsSonserinaTime de quadribol da Sonserina[3]Brigada Inquisitorial[3], Sonserina, Time de quadribol da Sonserina[3], Brigada Inquisitorial[3], Gangue de Draco Malfoy(anteriormente), Lorde Voldemort, Comensais da Morte(não oficialmente)",Gregório Goyle,,,,,,,,,
29 de maio de 1980,Mestiço[1],,Irlândes,O'Flaherty (por Cuthbert Binns) [2],Comentarista de Quadribol,,Humano,Masculino,,,Cor de palha [3],,"Sr. Finnigan (pai), Sra. Finnigan (mãe), Fergus (primo materno)",Espírito Agourento,"Comprimento, núcleo e madeira desconhecidos",Raposa,, Grifinória,"Armada de Dumbledore, Escola de Magia e Bruxaria de HogwartsGrifinória, Grifinória, Família Finnigan, Família Thomas, Seleção Irlandesa de Quadribol, Francelhos de Kenmare, Dino Thomas",Simas Finnigan,Pálida,,,,,,,,
